Date,Type,Symbol,Shares,Price,Amount,Commission
2025-08-26,Buy,VOO,10,590.46,5904.60,1.00
2025-08-26,Buy,VEA,40,58.705,2348.20,1.00
2025-08-26,Buy,VWO,30,51.89,1556.68,1.00
2025-08-27,Buy,VNQ,25,91.65,2291.25,1.00
2025-08-27,Buy,VWO,50,51.25,2562.50,1.00
2025-08-27,Buy,VB,10,251.08,2510.80,1.00
2025-08-27,Buy,VOO,4,593.12,2372.48,1.00
2025-08-27,Buy,VWO,8,51.25,409.96,1.00
2025-08-28,Buy,VOO,16,595.5988,9529.58,1.00
2025-08-29,Buy,VOO,1,594.0688,594.07,1.00
2025-08-29,Buy,VB,2,253.645,507.29,1.00
2025-08-28,Buy,VWO,9,51.42,462.78,1.00
2025-08-29,Buy,VWO,100,51.44,5144.00,1.00
2025-08-29,Buy,VEA,20,58.665,1173.30,1.00
2025-08-29,Buy,ASEA,150,17.20,2580.00,1.00
2025-08-29,Buy,ROLR,16,2.68,42.88,1.00
2025-09-02,Buy,VOO,10,586.99,5869.90,1.00
2025-09-02,Buy,VEA,50,58.085,2904.25,1.00
2025-09-02,Buy,VWO,23,51.38,1181.74,1.00
2025-09-02,Buy,ROLR,15,2.74,41.10,1.00
2025-09-08,Buy,SOFI,100,25.57,2556.93,1.00
2025-09-10,Buy,PLTR,100,164.79,16479.00,1.00
2025-09-10,Buy,F,100,11.34,1133.50,1.01
2025-09-10,Sell,ROLR,31,2.75,85.25,0.86
2025-09-11,Sell,ASEA,150,17.46,2616.42,0.02
2025-09-11,Buy,SOFI,100,25.97,2597.00,1.00
2025-09-11,Sell,VNQ,25,92.16,2304.02,1.00
2025-09-11,Sell,VWO,220,53.35,11737.00,1.14
2025-09-11,Sell,VB,12,255.31,3063.72,1.00
2025-09-11,Sell,VEA,44,59.83,2632.52,1.01
2025-09-11,Sell,VEA,66,59.83,3948.78,0.01
2025-09-11,Buy,AMD,100,155.71,15570.88,1.00
2025-09-12,Sell,SOFI,200,26.00,5200.00,0.03
2025-09-12,Sell,PLTR,100,165.00,16500.00,0.02
2025-09-12,Sell,AMD,100,157.50,15750.00,0.02
2025-09-15,Buy,SOFI,100,27.45,2744.50,1.00
2025-09-15,Buy,VOO,10,607.21,6072.10,1.00
2025-09-16,Buy,AAL,100,12.41,1240.50,1.00
2025-09-16,Buy,OXY,100,47.41,4741.00,1.00
2025-09-18,Buy,AMD,100,157.23,15723.00,1.00
2025-09-19,Buy,AAL,400,12.46,4982.00,2.01
2025-09-19,Sell,F,100,11.50,1150.00,0.02
2025-09-19,Buy,MRNA,100,25.50,2550.00,0.00
2025-09-19,Sell,SOFI,100,27.50,2750.00,0.02
2025-09-22,Buy,BAC,100,52.04,5204.00,1.00
2025-09-24,Sell,VOO,51,609.30,31074.30,0.02
2025-09-26,Buy,SOFI,300,28.08,8424.00,1.00
2025-09-26,Buy,HOOD,100,121.39,12139.00,1.00
2025-09-26,Sell,BAC,100,52.00,5200.00,0.02
2025-09-29,Sell,HOOD,100,123.79,12379.00,1.02
2025-09-29,Sell,AMD,49,160.10,7844.90,1.01
2025-09-29,Sell,AMD,51,160.10,8165.10,0.01
2025-09-29,Sell,SOFI,100,28.165,2816.50,1.02
2025-09-29,Sell,SOFI,20,28.1907,563.81,1.00
2025-09-29,Sell,SOFI,180,27.9609,5032.96,1.03
2025-10-03,Buy,AMD,100,167.50,16750.00,0.00
2025-10-03,Buy,HIMS,200,58.00,11600.00,0.00
2025-10-03,Buy,PLTR,100,180.00,18000.00,0.00
2025-10-03,Buy,SOFI,300,27.50,8250.00,0.00
2025-10-03,Buy,UBER,100,99.00,9900.00,0.00
2025-10-03,Sell,MRNA,100,25.00,2500.00,0.00
2025-10-06,Sell,AMD,100,223.70,22370.00,0.00
2025-10-10,Sell,PLTR,100,180.27,18027.00,0.00
