Date,Action,Symbol,OptionType,Strike,Expiry,Contracts,Premium,StockPrice,Commission,PositionID,Notes
2025-09-10,Sell to Open,SOFI,Call,26.00,2025-09-12,1,48.00,25.57,0.00,P1,"First ever trade, recommendation from John"
2025-09-12,Assigned,SOFI,Call,26.00,2025-09-12,1,0.00,,0.00,P1,
2025-09-10,Sell to Open,PTLR,Call,165.00,2025-09-12,1,280.00,164.79,0.00,P2,"Was a little scared on this as it was $16,500, first large stock purchase"
2025-09-12,Assigned,PTLR,Call,165.00,2025-09-12,1,0.00,,0.00,P2,
2025-09-10,Sell to Open,F,Call,11.50,2025-09-19,1,12.00,11.34,0.00,P3,Test trade to get comfortable with things
2025-09-19,Assigned,F,Call,11.50,2025-09-19,1,0.00,,0.00,P3,
2025-09-11,Sell to Open,SOFI,Call,26.00,2025-09-12,1,44.00,25.75,0.00,P4,"Already had SOFI, but the Annualized return was insane on this"
2025-09-12,Assigned,SOFI,Call,26.00,2025-09-12,1,0.00,,0.00,P4,
2025-09-11,Sell to Open,AMD,Call,157.50,2025-09-12,1,91.00,155.71,0.00,P5,"Had trouble getting filled, did a market order and lost $29 on the price"
2025-09-12,Assigned,AMD,Call,157.50,2025-09-12,1,0.00,,0.00,P5,
2025-09-15,Sell to Open,SOFI,Call,27.50,2025-09-19,1,81.00,27.46,0.00,P6,"Doing a trade before the fed rate cut announcement to understand how the volatility works, good return overall"
2025-09-19,Assigned,SOFI,Call,27.50,2025-09-19,1,0.00,,0.00,P6,
2025-09-16,Sell to Open,AAL,Call,12.50,2025-10-10,1,55.00,12.19,0.00,P7,"Struggled to get filled, did a market order, maybe should consider real time market data. Did a longer option call just as a test "
2025-09-16,Sell to Open,OXY,Call,47.50,2025-09-19,1,63.00,47.42,0.00,P8,Wanted to test energy sector and see how it works with diversification this week
2025-09-19,Expired,OXY,Call,47.50,2025-09-19,1,0.00,,0.00,P8,
2025-09-18,Sell to Open,SOFI,Put,27.00,2025-09-19,1,23.00,27.48,0.00,P9,First ever Put!
2025-09-19,Expired,SOFI,Put,27.00,2025-09-19,1,0.00,,0.00,P9,
2025-09-18,Sell to Open,MNRA,Put,25.50,2025-09-19,1,60.00,25.66,0.00,P10,"Second Put, but not sure I would want to own MRNA in the long term, it feels like its a long term downtrending stock"
2025-09-19,Assigned,MNRA,Put,25.50,2025-09-19,1,0.00,,0.00,P10,
2025-09-18,Sell to Open,AMD,Call,157.50,2025-09-19,1,191.00,157.30,0.00,P11,Only Good call option I could find for end of this week that was not on a stock that I already own or PLTR which I felt was too volatile
2025-09-19,Expired,AMD,Call,157.50,2025-09-19,1,0.00,,0.00,P11,
2025-09-19,Sell to Open,AAL,Call,12.50,2025-09-25,4,92.00,12.42,0.00,P12,"Wanted to try out an over-the-weekend weekly, and I want to check how much this is on Monday, as I think we get good theta decay on the weekend without much price movement. And this fit nicely, almost 2% for the week."
2025-09-25,Expired,AAL,Call,12.50,2025-09-25,4,0.00,,0.00,P12,
2025-09-22,Sell to Open,AMD,Call,160.00,2025-09-26,1,360.00,160.00,0.00,P13,Nice preium collection on AMD I think it was very good for the week
2025-09-26,Expired,AMD,Call,160.00,2025-09-26,1,0.00,,0.00,P13,
2025-09-22,Sell to Open,HIMS,Put,55.00,2025-09-26,1,119.00,55.00,0.00,P14,Wanted to try HIMS put as John recommended this was considering lower strike price around 50 for 1 month with around 4% returnt
2025-09-26,Expired,HIMS,Put,55.00,2025-09-26,1,0.00,,0.00,P14,
2025-09-22,Sell to Open,MRNA,Call,25.50,2025-09-25,1,72.00,25.50,0.00,P15," I had this assigned from last week so I sold a call on it and quite happy with the return"
2025-09-25,Expired,MRNA,Call,25.50,2025-09-25,1,0.00,,0.00,P15,
2025-09-22,Sell to Open,OXY,Call,47.50,2025-11-21,1,181.00,47.50,0.00,P16,wanted to have a safe stock like OXY on the portfolio as I already had it assigned last week
2025-09-22,Sell to Open,BAC,Call,52.00,2025-09-26,1,55.00,52.04,0.00,P17,Same as OXY I was already assigned BAC so sold more calls 52
2025-09-26,Assigned,BAC,Call,52.00,2025-09-26,1,0.00,,0.00,P17,
2025-09-23,Sell to Open,SOFI,Put,29.50,2025-09-26,1,55.00,29.87,0.00,P18,SOFI had a good premium and was getting to an ATH so I sold a put to collect more premium
2025-09-26,Assigned,SOFI,Put,29.50,2025-09-26,1,0.00,,0.00,P18,
2025-09-23,Sell to Open,IBKR,Put,65.00,2025-09-26,1,75.00,66.50,0.00,P19,I liked the irony of trading IBKR put when trading on IBKR
2025-09-26,Expired,IBKR,Put,65.00,2025-09-26,1,0.00,,0.00,P19,
2025-09-24,Sell to Open,SOFI,Put,28.00,2025-09-26,2,74.00,28.44,0.00,P20,felt it was good to double down on SOFI put
2025-09-26,Assigned,SOFI,Put,28.00,2025-09-26,2,0.00,,0.00,P20,
